Entity,Majors
MAJ,Veterinarian Assisting/Technology
MAJ,Chiropractic (Pre-Chiropractic)
MAJ,Dental Hygiene
MAJ,Dentistry (Pre-Dentistry)
MAJ,Emergency Medical Technology
MAJ,Health-Related Professions & Services
MAJ,Athletic Training
MAJ,Communication Disorder Services 
MAJ,Public Health
MAJ,Health/Medical Technology
MAJ,Medical Laboratory Technology
MAJ,Medical Radiologic Technology
MAJ,Nuclear Medicine Technology
MAJ,Respiratory Therapy Technology
MAJ,Surgical Technology
MAJ,Medicine (Pre-Medicine)
MAJ,Nursing
MAJ,"Nursing, Registered "
MAJ,Optometry (Pre-Optometry)
MAJ,Osteopathic Medicine
MAJ,Pharmacy (Pre-Pharmacy)
MAJ,Physician Assisting
MAJ,Therapy & Rehabilitation
MAJ,Alcohol/Drug Abuse Counseling
MAJ,Massage Therapy
MAJ,Mental Health Counseling
MAJ,Occupational Therapy
MAJ,Physical Therapy (Pre-Physical Therapy)
MAJ,Psychiatric/Mental Health Technician
MAJ,Rehabilitation Therapy
MAJ,Vocational Rehabilitation Counseling
MAJ,Veterinary Medicine (Pre-Veterinarian)
MAJ,Philosophy
MAJ,Religion
MAJ,Theology
MAJ,Bible/Biblical Studies
MAJ,Divinity/Ministry
MAJ,Religious Education
MAJ,Aviation & Airway Science
MAJ,Aircraft Piloting & Navigation
MAJ,Aviation Management & Operations
MAJ,Construction Trades
MAJ,Mechanics & Repairers
MAJ,Aircraft Mechanics/Technology
MAJ,Autobody Repair/Technology
MAJ,Automotive Mechanics/Technology
MAJ,Avionics Technology
MAJ,Diesel Mechanics/Technology
MAJ,Electrical/Electronics Equip Installation & Repair
MAJ,Heating/Air Cond/Refrig Install/Repair
MAJ,Precision Production Trades
MAJ,Machine Tool Technology
MAJ,Welding Technology
MAJ,Transportation & Materials Moving
MAJ,Biology
MAJ,Biochemistry
MAJ,Cell/Cellular Biology
MAJ,Ecology
MAJ,Genetics
MAJ,Marine/Aquatic Biology
MAJ,Microbiology & Immunology
MAJ,Zoology
MAJ,Physical Sciences
MAJ,Astronomy
MAJ,Atmospheric Sciences & Meteorology
MAJ,Chemistry
MAJ,Geological & Earth Sciences
MAJ,Physics
MAJ,Legal Studies
MAJ,Court Reporting
MAJ,Law (Pre-Law)
MAJ,Legal Administrative Assisting
MAJ,Paralegal/Legal Assistant
MAJ,Social Sciences
MAJ,Anthropology
MAJ,Criminology
MAJ,Economics
